0, 1023
1, 1023
1, 1023
2, 1023
2, 1023
3, 1023
3, 1023
7, 1023
16, 1023
26, 1023
37, 1023
48, 1023
58, 1023
68, 1023
78, 1023
89, 3
96, 1023
107, 3
115, 1023
126, 1023
138, 1023
149, 1023
160, 2
169, 1023
181, 1023
192, 3
200, 1023
211, 1023
223, 1023
235, 1023
246, 1023
258, 3
266, 1023
277, 1023
288, 3
296, 1023
309, 1023
320, 1023
331, 1023
343, 2
351, 3
359, 1023
371, 1023
382, 1023
394, 3
402, 1023
413, 1023
424, 1023
437, 1023
448, 1023
459, 1023
471, 1023
482, 1023
493, 2
502, 1023
514, 1023
525, 1023
536, 1023
547, 1023
559, 1023
571, 1023
582, 1023
593, 2
602, 2
610, 1023
621, 1023
633, 1023
645, 1023
656, 2
664, 1023
675, 1023
687, 1023
699, 1023
710, 1023
721, 1023
733, 1023
744, 1023
755, 1023
768, 1023
779, 1023
790, 1023
801, 1023
813, 1023
824, 1023
836, 1023
847, 1023
859, 1023
870, 1023
881, 1023
892, 666
904, 1023
915, 1023
926, 1023
937, 1023
949, 1023
960, 2
969, 1023
980, 1023
992, 1023
1003, 1023
